-2,0,Age,Attrition,Attrition Count,Attrition Rate,Business Travel,CF_age band,CF_attrition label,CF_current Employee,Daily Rate,Department,Sum of Distance From Home,Education Field,Education,emp no,Employee Count,Employee Number,Environment Satisfaction,Gender,Hourly Rate,Job Involvement,Job Level,Job Role,Job Satisfaction,Marital Status,Monthly Income,Monthly Rate,Num Companies Worked,Over Time,Over18,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Sort Age,Stock Option Level,Total Working Years,Training Times Last Year,Work Life Balance,Years At Company,Years With Curr Manager,Years Since Last Promotion,Years In Current Role
-2,0,19,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,1181,R&D,3,Medical,High School,STAFF-201,1,201,2,Female,79,3,1,Laboratory Technician,2,Single,1483,16102,1,No,Y,14,3,4,80,1,0,1,3,3,1,0,0,0
-2,0,19,Yes,1,100.00%,Non-Travel,Under 25,Ex-Employees,0,504,R&D,10,Medical,Bachelor's Degree,STAFF-1248,1,1248,1,Female,96,2,1,Research Scientist,2,Single,1859,6148,1,Yes,Y,25,4,2,80,1,0,1,2,4,1,0,0,1
-2,0,19,Yes,1,100.00%,Travel_Frequently,Under 25,Ex-Employees,0,602,Sales,1,Technical Degree,High School,STAFF-235,1,235,3,Female,100,1,1,Sales Representative,1,Single,2325,20989,0,No,Y,21,4,1,80,1,0,1,5,4,0,0,0,0
-2,0,19,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,303,R&D,2,Life Sciences,Bachelor's Degree,STAFF-243,1,243,2,Male,47,2,1,Laboratory Technician,4,Single,1102,9241,1,No,Y,22,4,3,80,1,0,1,3,2,1,0,1,0
-2,0,19,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,419,Sales,21,Other,Bachelor's Degree,STAFF-959,1,959,4,Male,37,2,1,Sales Representative,2,Single,2121,9947,1,Yes,Y,13,3,2,80,1,0,1,3,4,1,0,0,0
-2,0,19,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,489,HR,2,Technical Degree,Associates Degree,STAFF-566,1,566,1,Male,52,2,1,Human Resources,4,Single,2564,18437,1,No,Y,12,3,3,80,1,0,1,3,4,1,0,0,0
-2,0,19,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,528,Sales,22,Marketing,High School,STAFF-167,1,167,4,Male,50,3,1,Sales Representative,3,Single,1675,26820,1,Yes,Y,19,3,4,80,1,0,0,2,2,0,0,0,0
-2,0,20,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,654,Sales,21,Marketing,Bachelor's Degree,STAFF-1226,1,1226,3,Male,43,4,1,Sales Representative,4,Single,2678,5050,1,No,Y,17,3,4,80,1,0,2,2,3,2,2,2,1
-2,0,20,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,727,Sales,9,Life Sciences,High School,STAFF-1680,1,1680,4,Male,54,3,1,Sales Representative,1,Single,2728,21082,1,No,Y,11,3,1,80,1,0,2,3,3,2,2,0,2
-2,0,20,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,805,R&D,3,Life Sciences,Bachelor's Degree,STAFF-1198,1,1198,1,Male,87,2,1,Laboratory Technician,3,Single,3033,12828,1,No,Y,12,3,1,80,1,0,2,2,2,2,2,1,2
-2,0,20,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,959,R&D,1,Life Sciences,Bachelor's Degree,STAFF-657,1,657,4,Female,83,2,1,Research Scientist,2,Single,2836,11757,1,No,Y,13,3,4,80,1,0,1,0,4,1,0,0,0
-2,0,20,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,1141,Sales,2,Medical,Bachelor's Degree,STAFF-1657,1,1657,3,Female,31,3,1,Sales Representative,3,Single,2783,13251,1,No,Y,19,3,1,80,1,0,2,3,3,2,2,2,2
-2,0,20,Yes,1,100.00%,Travel_Frequently,Under 25,Ex-Employees,0,769,Sales,9,Marketing,Bachelor's Degree,STAFF-1077,1,1077,4,Female,54,3,1,Sales Representative,4,Single,2323,17205,1,Yes,Y,14,3,2,80,1,0,2,3,3,2,2,0,2
-2,0,20,Yes,1,100.00%,Travel_Frequently,Under 25,Ex-Employees,0,871,R&D,6,Life Sciences,Bachelor's Degree,STAFF-137,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1,Yes,Y,18,3,2,80,1,0,1,5,3,1,0,1,0
-2,0,20,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,129,R&D,4,Technical Degree,Bachelor's Degree,STAFF-960,1,960,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,No,Y,19,3,2,80,1,0,1,2,3,1,0,0,0
-2,0,20,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,500,Sales,2,Medical,Bachelor's Degree,STAFF-922,1,922,3,Female,49,2,1,Sales Representative,3,Single,2044,22052,1,No,Y,13,3,4,80,1,0,2,3,2,2,2,0,2
-2,0,20,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,1097,R&D,11,Medical,Bachelor's Degree,STAFF-1016,1,1016,4,Female,98,2,1,Research Scientist,1,Single,2600,18275,1,Yes,Y,15,3,1,80,1,0,1,2,3,1,0,0,0
-2,0,20,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,1362,R&D,10,Medical,High School,STAFF-701,1,701,4,Male,32,3,1,Research Scientist,3,Single,1009,26999,1,Yes,Y,11,3,4,80,1,0,1,5,3,1,1,1,0
-2,0,21,No,0,0.00%,Non-Travel,Under 25,Current Employees,1,895,Sales,9,Medical,Associates Degree,STAFF-484,1,484,1,Male,39,3,1,Sales Representative,4,Single,2610,2851,1,No,Y,24,4,3,80,1,0,3,3,2,3,2,2,2
-2,0,21,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,391,R&D,15,Life Sciences,Associates Degree,STAFF-30,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,Y,14,3,4,80,1,0,0,6,3,0,0,0,0
-2,0,21,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,501,Sales,5,Medical,High School,STAFF-2021,1,2021,3,Male,58,3,1,Sales Representative,1,Single,2380,25479,1,Yes,Y,11,3,4,80,1,0,2,6,3,2,2,1,2
-2,0,21,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,546,R&D,5,Medical,High School,STAFF-1623,1,1623,3,Male,97,3,1,Research Scientist,4,Single,3117,26009,1,No,Y,18,3,3,80,1,0,3,2,3,2,2,2,2
-2,0,21,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,984,R&D,1,Technical Degree,High School,STAFF-1131,1,1131,4,Female,70,2,1,Research Scientist,2,Single,2070,25326,1,Yes,Y,11,3,3,80,1,0,2,6,4,2,2,2,2
-2,0,21,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,996,R&D,3,Medical,Associates Degree,STAFF-379,1,379,4,Male,100,2,1,Research Scientist,3,Single,3230,10531,1,No,Y,17,3,1,80,1,0,3,4,4,3,0,1,2
-2,0,21,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,1343,Sales,22,Technical Degree,High School,STAFF-669,1,669,3,Male,49,3,1,Sales Representative,3,Single,3447,24444,1,No,Y,11,3,3,80,1,0,3,2,3,3,2,1,2
-2,0,21,Yes,1,100.00%,Travel_Frequently,Under 25,Ex-Employees,0,251,R&D,10,Life Sciences,Associates Degree,STAFF-1279,1,1279,1,Female,45,2,1,Laboratory Technician,3,Single,2625,25308,1,No,Y,20,4,3,80,1,0,2,2,1,2,2,2,2
-2,0,21,Yes,1,100.00%,Travel_Frequently,Under 25,Ex-Employees,0,756,Sales,1,Technical Degree,High School,STAFF-478,1,478,1,Female,99,2,1,Sales Representative,2,Single,2174,9150,1,Yes,Y,11,3,3,80,1,0,3,3,3,3,2,1,2
-2,0,21,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,156,Sales,12,Life Sciences,Bachelor's Degree,STAFF-494,1,494,3,Female,90,4,1,Sales Representative,2,Single,2716,25422,1,No,Y,15,3,4,80,1,0,1,0,3,1,0,0,0
-2,0,21,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,337,Sales,7,Marketing,High School,STAFF-1780,1,1780,2,Male,31,3,1,Sales Representative,2,Single,2679,4567,1,No,Y,13,3,2,80,1,0,1,3,3,1,0,1,0
-2,0,21,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,1334,R&D,10,Life Sciences,Bachelor's Degree,STAFF-1079,1,1079,3,Female,36,2,1,Laboratory Technician,1,Single,1416,17258,1,No,Y,13,3,1,80,1,0,1,6,2,1,0,1,0
-2,0,21,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,1427,R&D,18,Other,High School,STAFF-923,1,923,4,Female,65,3,1,Research Scientist,4,Single,2693,8870,1,No,Y,19,3,1,80,1,0,1,3,2,1,0,0,0
-2,0,22,No,0,0.00%,Non-Travel,Under 25,Current Employees,1,457,R&D,26,Other,Associates Degree,STAFF-1605,1,1605,2,Female,85,2,1,Research Scientist,3,Married,2814,10293,1,Yes,Y,14,3,2,80,1,0,4,2,2,4,3,1,2
-2,0,22,No,0,0.00%,Non-Travel,Under 25,Current Employees,1,1123,R&D,16,Medical,Associates Degree,STAFF-22,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,Y,13,3,2,80,1,2,1,2,2,1,0,0,0
-2,0,22,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,217,R&D,8,Life Sciences,High School,STAFF-1019,1,1019,2,Male,94,1,1,Laboratory Technician,1,Married,2451,6881,1,No,Y,15,3,1,80,1,1,4,3,2,4,1,1,3
-2,0,22,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,253,R&D,11,Medical,Bachelor's Degree,STAFF-511,1,511,1,Female,43,3,1,Research Scientist,2,Married,2244,24440,1,No,Y,13,3,4,80,1,1,2,1,3,2,2,1,1
-2,0,22,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,534,R&D,15,Medical,Bachelor's Degree,STAFF-144,1,144,2,Female,59,3,1,Laboratory Technician,4,Single,2871,23785,1,No,Y,15,3,3,80,1,0,1,5,3,0,0,0,0
-2,0,22,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,581,R&D,1,Life Sciences,Associates Degree,STAFF-2007,1,2007,4,Male,63,3,1,Research Scientist,3,Single,3375,17624,0,No,Y,12,3,4,80,1,0,4,2,4,3,2,1,2
-2,0,22,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,594,R&D,2,Technical Degree,High School,STAFF-169,1,169,3,Male,100,3,1,Laboratory Technician,4,Married,2523,19299,0,No,Y,14,3,3,80,1,1,3,2,3,2,1,2,1
-2,0,22,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,604,R&D,6,Medical,High School,STAFF-675,1,675,1,Male,69,3,1,Research Scientist,3,Married,2773,12145,0,No,Y,20,4,4,80,1,0,3,3,3,2,2,2,2
-2,0,22,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,1136,R&D,5,Life Sciences,Bachelor's Degree,STAFF-284,1,284,4,Male,60,4,1,Research Scientist,2,Divorced,2328,12392,1,Yes,Y,16,3,1,80,1,1,4,2,2,4,2,2,2
-2,0,22,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,1230,R&D,1,Life Sciences,Associates Degree,STAFF-872,1,872,4,Male,33,2,2,Manufacturing Director,4,Married,4775,19146,6,No,Y,22,4,1,80,1,2,4,2,1,2,2,2,2
-2,0,22,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,1256,R&D,19,Medical,High School,STAFF-217,1,217,3,Male,80,3,1,Research Scientist,4,Married,2323,11992,1,No,Y,24,4,1,80,1,2,2,6,3,2,2,2,2
-2,0,22,Yes,1,100.00%,Travel_Frequently,Under 25,Ex-Employees,0,1256,R&D,3,Life Sciences,Master's Degree,STAFF-1203,1,1203,3,Male,48,2,1,Research Scientist,4,Married,2853,4223,0,Yes,Y,11,3,2,80,1,1,1,5,3,0,0,0,0
-2,0,22,Yes,1,100.00%,Travel_Frequently,Under 25,Ex-Employees,0,1368,R&D,4,Technical Degree,High School,STAFF-593,1,593,3,Male,99,2,1,Laboratory Technician,3,Single,3894,9129,5,No,Y,16,3,3,80,1,0,4,3,3,2,2,1,2
-2,0,22,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,391,R&D,7,Life Sciences,High School,STAFF-1878,1,1878,4,Male,75,3,1,Research Scientist,2,Single,2472,26092,1,Yes,Y,23,4,1,80,1,0,1,2,3,1,0,0,0
-2,0,22,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,617,R&D,3,Life Sciences,High School,STAFF-926,1,926,2,Female,34,3,2,Manufacturing Director,3,Married,4171,10022,0,Yes,Y,19,3,1,80,1,1,4,3,4,3,2,0,2
-2,0,22,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,1294,R&D,8,Medical,High School,STAFF-1783,1,1783,3,Female,79,3,1,Laboratory Technician,1,Married,2398,15999,1,Yes,Y,17,3,3,80,1,0,1,6,3,1,0,0,0
-2,0,23,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,160,R&D,4,Medical,High School,STAFF-1735,1,1735,3,Female,51,3,1,Laboratory Technician,2,Single,3295,12862,1,No,Y,13,3,3,80,1,0,3,3,1,3,2,1,2
-2,0,23,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,310,R&D,10,Medical,High School,STAFF-784,1,784,1,Male,79,4,1,Research Scientist,3,Single,3505,19630,1,No,Y,18,3,4,80,1,0,2,3,3,2,2,0,2
-2,0,23,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,373,R&D,1,Life Sciences,Associates Degree,STAFF-1270,1,1270,4,Male,47,3,1,Research Scientist,3,Married,1223,16901,1,No,Y,22,4,4,80,1,1,1,2,3,1,1,0,0
-2,0,23,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,507,R&D,20,Life Sciences,High School,STAFF-1533,1,1533,1,Male,97,3,2,Laboratory Technician,3,Single,2272,24812,0,No,Y,14,3,2,80,1,0,5,2,3,4,2,1,3
-2,0,23,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,541,Sales,2,Technical Degree,High School,STAFF-113,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,Y,13,3,3,80,1,1,3,3,3,0,0,0,0
-2,0,23,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,571,R&D,12,Other,Associates Degree,STAFF-1982,1,1982,4,Male,78,3,1,Laboratory Technician,4,Single,2647,13672,1,No,Y,13,3,3,80,1,0,5,6,4,5,4,1,2
-2,0,23,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,650,R&D,9,Medical,High School,STAFF-758,1,758,2,Male,37,3,1,Laboratory Technician,1,Married,2500,4344,1,No,Y,14,3,4,80,1,1,5,2,4,4,2,0,3
-2,0,23,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,885,R&D,4,Medical,Bachelor's Degree,STAFF-705,1,705,1,Male,58,4,1,Research Scientist,1,Married,2819,8544,2,No,Y,16,3,1,80,1,1,5,3,4,3,2,0,2
-2,0,23,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,977,R&D,10,Technical Degree,Bachelor's Degree,STAFF-1592,1,1592,4,Male,45,4,1,Research Scientist,3,Married,2073,12826,2,No,Y,16,3,4,80,1,1,4,2,3,2,2,2,2
-2,0,23,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,1309,R&D,26,Life Sciences,High School,STAFF-465,1,465,3,Male,83,3,1,Research Scientist,4,Divorced,2904,16092,1,No,Y,12,3,3,80,1,2,4,2,2,4,2,0,2
-2,0,23,Yes,1,100.00%,Travel_Frequently,Under 25,Ex-Employees,0,638,Sales,9,Marketing,Bachelor's Degree,STAFF-2023,1,2023,4,Male,33,3,1,Sales Representative,1,Married,1790,26956,1,No,Y,19,3,1,80,1,1,1,3,2,1,0,1,0
-2,0,23,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,427,Sales,7,Life Sciences,Bachelor's Degree,STAFF-1702,1,1702,3,Male,99,3,1,Sales Representative,4,Divorced,2275,25103,1,Yes,Y,21,4,2,80,1,1,3,2,3,3,2,0,2
-2,0,23,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,1243,R&D,6,Life Sciences,Bachelor's Degree,STAFF-811,1,811,3,Male,63,4,1,Laboratory Technician,1,Married,1601,3445,1,Yes,Y,21,4,3,80,1,2,1,2,3,0,0,0,0
-2,0,23,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,1320,R&D,8,Medical,High School,STAFF-1684,1,1684,4,Male,93,2,1,Laboratory Technician,3,Single,3989,20586,1,Yes,Y,11,3,1,80,1,0,5,2,3,5,2,1,4
-2,0,24,No,0,0.00%,Non-Travel,Under 25,Current Employees,1,673,R&D,11,Other,Associates Degree,STAFF-26,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,Y,18,3,4,80,1,1,5,5,2,4,3,1,2
-2,0,24,No,0,0.00%,Non-Travel,Under 25,Current Employees,1,830,Sales,13,Life Sciences,Associates Degree,STAFF-1495,1,1495,4,Female,78,3,1,Sales Representative,2,Married,2033,7103,1,No,Y,13,3,3,80,1,1,1,2,3,1,0,0,0
-2,0,24,No,0,0.00%,Non-Travel,Under 25,Current Employees,1,1092,R&D,9,Life Sciences,Bachelor's Degree,STAFF-812,1,812,3,Male,60,2,1,Laboratory Technician,2,Divorced,2694,26551,1,No,Y,11,3,3,80,1,3,1,4,3,1,0,0,0
-2,0,24,No,0,0.00%,Non-Travel,Under 25,Current Employees,1,1269,R&D,4,Life Sciences,High School,STAFF-888,1,888,1,Male,46,2,1,Laboratory Technician,4,Married,3162,10778,0,No,Y,17,3,4,80,1,0,6,2,2,5,4,3,2
-2,0,24,No,0,0.00%,Travel_Frequently,Under 25,Current Employees,1,535,Sales,24,Medical,Bachelor's Degree,STAFF-632,1,632,4,Male,38,3,1,Sales Representative,4,Married,2400,5530,0,No,Y,13,3,3,80,1,2,3,3,3,2,1,2,2
-2,0,24,No,0,0.00%,Travel_Frequently,Under 25,Current Employees,1,567,R&D,2,Technical Degree,High School,STAFF-1646,1,1646,1,Female,32,3,1,Research Scientist,4,Single,3760,17218,1,Yes,Y,13,3,3,80,1,0,6,2,3,6,3,1,3
-2,0,24,No,0,0.00%,Travel_Frequently,Under 25,Current Employees,1,897,HR,10,Medical,Bachelor's Degree,STAFF-1746,1,1746,1,Male,59,3,1,Human Resources,4,Married,2145,2097,0,No,Y,14,3,4,80,1,1,3,2,3,2,1,2,2
-2,0,24,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,350,R&D,21,Technical Degree,Associates Degree,STAFF-1551,1,1551,3,Male,57,2,1,Laboratory Technician,1,Divorced,2296,10036,0,No,Y,14,3,2,80,1,3,2,3,3,1,0,0,1
-2,0,24,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,477,R&D,24,Medical,Bachelor's Degree,STAFF-1173,1,1173,4,Male,49,3,1,Laboratory Technician,2,Single,3597,6409,8,No,Y,22,4,4,80,1,0,6,2,3,4,2,1,3
-2,0,24,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,506,R&D,29,Medical,High School,STAFF-1725,1,1725,2,Male,91,3,1,Laboratory Technician,1,Divorced,3907,3622,1,No,Y,13,3,2,80,1,3,6,2,4,6,2,1,2
-2,0,24,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,581,R&D,9,Medical,Bachelor's Degree,STAFF-1707,1,1707,3,Male,62,4,1,Research Scientist,3,Married,4401,17616,1,No,Y,16,3,4,80,1,1,5,1,3,5,4,0,3
-2,0,24,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,691,R&D,23,Medical,Bachelor's Degree,STAFF-639,1,639,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Yes,Y,11,3,2,80,1,2,6,3,3,6,4,1,5
-2,0,24,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,771,R&D,1,Life Sciences,Associates Degree,STAFF-1981,1,1981,2,Male,45,2,2,Healthcare Representative,3,Single,4617,14120,1,No,Y,12,3,2,80,1,0,4,2,2,4,2,1,3
-2,0,24,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,823,R&D,17,Other,Associates Degree,STAFF-643,1,643,4,Male,94,2,1,Laboratory Technician,2,Married,2127,9100,1,No,Y,21,4,4,80,1,1,1,2,3,1,0,0,0
-2,0,24,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,1127,R&D,18,Life Sciences,High School,STAFF-150,1,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774,13257,0,No,Y,12,3,3,80,1,1,6,2,3,5,2,1,3
-2,0,24,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,1206,R&D,17,Medical,High School,STAFF-1009,1,1009,4,Female,41,2,2,Manufacturing Director,3,Divorced,4377,24117,1,No,Y,15,3,2,80,1,2,5,6,3,4,2,3,2
-2,0,24,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,1353,Sales,3,Other,Associates Degree,STAFF-128,1,128,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,No,Y,21,4,1,80,1,1,4,2,2,3,2,0,2
-2,0,24,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,1371,Sales,10,Marketing,Master's Degree,STAFF-507,1,507,4,Female,77,3,2,Sales Executive,3,Divorced,4260,5915,1,Yes,Y,12,3,4,80,1,1,5,2,4,5,3,0,2
-2,0,24,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,1476,Sales,4,Medical,High School,STAFF-1445,1,1445,4,Female,42,3,2,Sales Executive,3,Married,4162,15211,1,Yes,Y,12,3,3,80,1,2,5,3,3,5,3,0,4
-2,0,24,Yes,1,100.00%,Travel_Frequently,Under 25,Ex-Employees,0,381,R&D,9,Medical,Bachelor's Degree,STAFF-1494,1,1494,2,Male,89,3,1,Laboratory Technician,1,Single,3172,16998,2,Yes,Y,11,3,3,80,1,0,4,2,2,0,0,0,0
-2,0,24,Yes,1,100.00%,Travel_Frequently,Under 25,Ex-Employees,0,1287,R&D,7,Life Sciences,Bachelor's Degree,STAFF-647,1,647,1,Female,55,3,1,Laboratory Technician,3,Married,2886,14168,1,Yes,Y,16,3,4,80,1,1,6,4,3,6,2,1,3
-2,0,24,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,240,HR,22,Human Resources,High School,STAFF-1714,1,1714,4,Male,58,1,1,Human Resources,3,Married,1555,11585,1,No,Y,11,3,3,80,1,1,1,2,3,1,0,0,0
-2,0,24,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,693,Sales,3,Life Sciences,Associates Degree,STAFF-720,1,720,1,Female,65,3,2,Sales Executive,3,Single,4577,24785,9,No,Y,14,3,1,80,1,0,4,3,3,2,0,2,2
-2,0,24,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,813,R&D,1,Medical,Bachelor's Degree,STAFF-45,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,Y,16,3,1,80,1,1,6,2,2,2,0,2,0
-2,0,24,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,984,R&D,17,Life Sciences,Associates Degree,STAFF-1219,1,1219,4,Female,97,3,1,Laboratory Technician,2,Married,2210,3372,1,No,Y,13,3,1,80,1,1,1,3,1,1,0,0,0
-2,0,24,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,1448,Sales,1,Technical Degree,High School,STAFF-554,1,554,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,Yes,Y,16,3,2,80,1,0,6,4,3,5,4,1,3
-2,0,25,No,0,0.00%,Non-Travel,25 - 34,Current Employees,1,675,R&D,5,Life Sciences,Associates Degree,STAFF-369,1,369,2,Male,85,4,2,Healthcare Representative,1,Divorced,4000,18384,1,No,Y,12,3,4,80,2,2,6,2,3,6,5,1,3
-2,0,25,No,0,0.00%,Travel_Frequently,25 - 34,Current Employees,1,772,R&D,2,Life Sciences,High School,STAFF-1653,1,1653,4,Male,77,4,2,Manufacturing Director,3,Divorced,5206,4973,1,No,Y,17,3,3,80,2,2,7,6,3,7,7,0,7
